category,subcategory,symptoms,diagnosis_steps
ABS System,ABS Control Module,"['ABS warning light on', 'Brake pedal pulsation']","[{'step': 'Check ABS fuse', 'result': ['Blown', 'Intact']}, {'step': 'Inspect wiring to ABS module', 'result': ['Faulty wiring', 'Good wiring']}]"
ABS System,ABS Wheel Speed Sensor,"['ABS light stays on', 'Erratic speedometer']","[{'step': 'Inspect wheel speed sensor connections', 'result': ['Loose connections', 'Secure connections']}, {'step': 'Check wheel speed sensor for debris or damage', 'result': ['Dirty/damaged', 'Clean/intact']}]"
ABS System,Brake Booster,"['Spongy brake pedal', 'Hard brake pedal']","[{'step': 'Check brake booster vacuum hose', 'result': ['Leaking', 'Intact']}, {'step': 'Test brake booster vacuum pressure', 'result': ['Low vacuum pressure', 'Normal vacuum pressure']}]"
ABS System,Brake Caliper,"['Brake pulling to one side', 'Brake dragging']","[{'step': 'Inspect brake caliper for leaks', 'result': ['Leaking fluid', 'No leaks']}, {'step': 'Check brake caliper piston operation', 'result': ['Stuck piston', 'Free-moving piston']}]"
ABS System,Brake Hose,"['Brake fluid leak', 'Soft brake pedal']","[{'step': 'Inspect brake hose for cracks or leaks', 'result': ['Cracked/leaking hose', 'Intact hose']}, {'step': 'Pressure test brake hose', 'result': ['Failed pressure test', 'Passes pressure test']}]"
ABS System,Brake Master Cylinder,"['Spongy brake pedal', 'Brake fluid leaks']","[{'step': 'Check brake fluid level in master cylinder', 'result': ['Low fluid level', 'Normal fluid level']}, {'step': 'Inspect master cylinder for leaks or damage', 'result': ['Leaking/damaged', 'Intact']}]"
ABS System,Brake Pad,"['Squealing brakes', 'Brake pedal pulsation']","[{'step': 'Check brake pad thickness', 'result': ['Worn pads', 'Sufficient thickness pads']}, {'step': 'Inspect brake pad condition', 'result': ['Worn/damaged pads', 'Good condition pads']}]"
ABS System,Brake Rotor,"['Brake pedal pulsation', 'Steering wheel vibration']","[{'step': 'Measure brake rotor thickness', 'result': ['Thin rotor', 'Sufficient thickness rotor']}, {'step': 'Inspect brake rotor for scoring or warping', 'result': ['Scored/warped rotor', 'Smooth rotor']}]"
ABS System,Brake Shoe & Drum,"['Spongy brake pedal', 'Brake dragging']","[{'step': 'Inspect brake shoes for wear', 'result': ['Worn shoes', 'Good condition shoes']}, {'step': 'Check brake drum for scoring or cracks', 'result': ['Scored/cracked drum', 'Smooth drum']}]"
Air Conditioning System,AC Compressor,"['No cold air from vents', 'Loud noise when AC is on']","[{'step': 'Check AC compressor clutch operation', 'result': ['Clutch not engaging', 'Clutch engages properly']}, {'step': 'Inspect AC compressor for leaks or damage', 'result': ['Leaking/damaged compressor', 'Intact compressor']}]"
Air Conditioning System,AC Condenser,"['Warm air from AC vents', 'AC system not cooling']","[{'step': 'Inspect AC condenser for debris or blockage', 'result': ['Debris/blockage present', 'Clean/clear condenser']}, {'step': 'Check for leaks in AC condenser', 'result': ['Leaking condenser', 'No leaks']}]"
Air Conditioning System,AC Evaporator,"['Musty odor from vents', 'Weak airflow from vents']","[{'step': 'Inspect AC evaporator for mold or mildew buildup', 'result': ['Mold/mildew present', 'Clean evaporator']}, {'step': 'Check AC evaporator temperature sensor', 'result': ['Faulty sensor', 'Good sensor']}]"
Air Conditioning System,AC Recharge,"['Warm air from vents', 'Low AC system pressure']","[{'step': 'Check AC system pressure with gauge', 'result': ['Low pressure', 'Normal pressure']}, {'step': 'Inspect for leaks in AC system', 'result': ['Leaking system', 'No leaks']}]"
Air Conditioning System,Air Conditioning Diagnosis,"['AC system not working', 'Unusual noise from AC system']","[{'step': 'Perform AC system diagnostic scan', 'result': ['Error codes present', 'No error codes']}, {'step': 'Check AC system components for proper operation', 'result': ['Component failure', 'Components working properly']}]"
Air Conditioning System,Cabin Air Filter,"['Musty odor from vents', 'Reduced airflow from vents']","[{'step': 'Inspect and replace cabin air filter', 'result': ['Dirty/clogged filter', 'Clean/new filter']}, {'step': 'Check for debris in cabin air intake', 'result': ['Debris in intake', 'Clear intake']}]"
Air Conditioning System,Heater Blower Motor,"['No air from vents', 'Loud noise from HVAC system']","[{'step': 'Test blower motor operation', 'result': ['Motor not running', 'Motor running properly']}, {'step': 'Inspect blower motor for debris or damage', 'result': ['Debris/damage present', 'Clean/intact motor']}]"
Air Conditioning System,Heater Blower Motor Resistor,"['HVAC fan speed erratic', 'HVAC fan only works on certain settings']","[{'step': 'Test blower motor resistor continuity', 'result': ['Resistor failure', 'Resistor working properly']}, {'step': 'Inspect resistor for overheating or burn marks', 'result': ['Overheated/burned resistor', 'Good condition resistor']}]"
Cooling System,Coolant/Antifreeze,"['Engine overheating', 'Coolant leaks under the vehicle']","[{'step': 'Check coolant level and condition', 'result': ['Low/dirty coolant', 'Sufficient/clean coolant']}, {'step': 'Inspect radiator and hoses for leaks', 'result': ['Leaking radiator/hoses', 'No leaks']}]"
Cooling System,Coolant Leak Diagnosis,"['Visible coolant puddle under vehicle', 'Coolant odor in cabin']","[{'step': 'Pressure test cooling system', 'result': ['Leaking system', 'No leaks detected']}, {'step': 'Inspect radiator, hoses, and water pump for leaks', 'result': ['Leaking component found', 'Components are intact']}]"
Cooling System,Engine Cooling System,"['Engine overheating', 'Temperature gauge in red zone']","[{'step': 'Check radiator for blockage or damage', 'result': ['Blocked/damaged radiator', 'Clear/intact radiator']}, {'step': 'Test thermostat operation', 'result': ['Faulty thermostat', 'Thermostat functioning properly']}]"
Cooling System,Heater Core,"['No heat from vents', 'Sweet smell in cabin']","[{'step': 'Inspect heater core for leaks', 'result': ['Leaking heater core', 'No leaks detected']}, {'step': 'Check coolant flow through heater core', 'result': ['Restricted flow', 'Good coolant flow']}]"
Cooling System,Heater Hose,"['Coolant odor in cabin', 'Visible coolant leak under vehicle']","[{'step': 'Inspect heater hose connections', 'result': ['Loose/damaged connections', 'Secure/intact connections']}, {'step': 'Pressure test heater hoses', 'result': ['Leaking hose detected', 'No leaks found']}]"
Cooling System,Radiator/Cooling Fan,"['Engine overheating', 'AC not cooling at idle']","[{'step': 'Test radiator fan operation', 'result': ['Fan not spinning', 'Fan operates correctly']}, {'step': 'Inspect radiator fan motor and relay', 'result': ['Faulty motor/relay', 'Motor/relay functioning properly']}]"
Cooling System,Radiator Hose,"['Coolant leak under vehicle', 'Visible wear/cracks on hoses']","[{'step': 'Inspect radiator hoses for damage', 'result': ['Damaged hoses found', 'Hoses are in good condition']}, {'step': 'Check hose connections for leaks', 'result': ['Leaking connections', 'No leaks detected']}]"
Cooling System,Water Pump,"['Engine overheating', 'Coolant leak near front of engine']","[{'step': 'Inspect water pump for leaks', 'result': ['Leaking pump', 'No leaks detected']}, {'step': 'Test water pump for proper operation', 'result': ['Faulty pump', 'Pump working correctly']}]"
Drivetrain,Bevel Gears,"['Whining noise from drivetrain', 'Difficulty shifting gears']","[{'step': 'Inspect bevel gears for wear or damage', 'result': ['Worn/damaged gears', 'Gears in good condition']}, {'step': 'Check gear oil level and condition', 'result': ['Low/dirty gear oil', 'Sufficient/clean gear oil']}]"
Drivetrain,Center Differential,"['Vehicle binding on turns', 'Noise from drivetrain while turning']","[{'step': 'Inspect center differential fluid', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Check for excessive play in center differential', 'result': ['Excessive play detected', 'No excessive play']}]"
Drivetrain,Clutch Cable,"['Clutch pedal feels loose', 'Difficulty engaging gears']","[{'step': 'Inspect clutch cable for fraying or stretching', 'result': ['Damaged cable', 'Intact cable']}, {'step': 'Adjust clutch cable tension', 'result': ['Incorrect tension', 'Correct tension']}]"
Drivetrain,Clutch Slave Cylinder,"['Clutch pedal feels spongy', 'Fluid leak near clutch pedal']","[{'step': 'Check clutch slave cylinder for leaks', 'result': ['Leaking cylinder', 'No leaks detected']}, {'step': 'Inspect clutch fluid level and condition', 'result': ['Low/dirty fluid', 'Sufficient/clean fluid']}]"
Drivetrain,Differential,"['Whining noise from rear end', 'Vehicle vibration at high speeds']","[{'step': 'Inspect differential fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Check for differential bearing wear', 'result': ['Worn bearings', 'Bearings in good condition']}]"
Drivetrain,Live Axle,"['Axle noise while turning', 'Vehicle leans to one side']","[{'step': 'Inspect live axle for cracks or bending', 'result': ['Cracked/bent axle', 'Axle is intact']}, {'step': 'Check axle bearings for wear', 'result': ['Worn bearings', 'Bearings in good condition']}]"
Drivetrain,Rigid Axle,"['Vehicle bounces over bumps', 'Loud noise from rear axle']","[{'step': 'Inspect rigid axle for cracks or damage', 'result': ['Cracked/damaged axle', 'Axle in good condition']}, {'step': 'Check axle bearings for wear', 'result': ['Worn bearings', 'Bearings in good condition']}]"
Drivetrain,Slushbox,"['Transmission slipping', 'Delay in gear engagement']","[{'step': 'Check transmission fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Inspect transmission for leaks', 'result': ['Leaking transmission', 'No leaks detected']}]"
Drivetrain,Universal Joint,"['Driveline vibration', 'Clunking noise when shifting']","[{'step': 'Inspect universal joint for wear or play', 'result': ['Worn/play detected', 'Joint in good condition']}, {'step': 'Check driveline alignment', 'result': ['Misaligned driveline', 'Properly aligned driveline']}]"
Drivetrain,Viscous Coupling,"['Vehicle binding during turns', 'Noise from drivetrain while turning']","[{'step': 'Test viscous coupling operation', 'result': ['Coupling failure', 'Coupling functioning properly']}, {'step': 'Inspect viscous coupling fluid', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}]"
Electrical System,Battery Replacement,"['Engine cranks slowly', 'Clicking sound when starting']","[{'step': 'Test battery voltage', 'result': ['Low voltage', 'Sufficient voltage']}, {'step': 'Inspect battery terminals for corrosion', 'result': ['Corroded terminals', 'Clean terminals']}]"
Electrical System,Charging System,"['Battery warning light on', 'Dim headlights']","[{'step': 'Test alternator output', 'result': ['Low output', 'Normal output']}, {'step': 'Check alternator belt tension', 'result': ['Loose belt', 'Properly tensioned belt']}]"
Electrical System,Check Engine Light Diagnosis,"['Check engine light on', 'Poor engine performance']","[{'step': 'Scan for diagnostic trouble codes (DTCs)', 'result': ['DTCs present', 'No DTCs']}, {'step': 'Check sensors related to DTCs', 'result': ['Faulty sensor', 'Sensor working properly']}]"
Electrical System,Door Window Motor,"['Window does not move', 'Window moves intermittently']","[{'step': 'Test power to window motor', 'result': ['No power', 'Power present']}, {'step': 'Inspect window regulator for damage', 'result': ['Damaged regulator', 'Regulator intact']}]"
Electrical System,Door Window Regulator,"['Window off track', 'Window stuck in one position']","[{'step': 'Inspect window regulator mechanism', 'result': ['Mechanism jammed', 'Mechanism functioning']}, {'step': 'Check window alignment in tracks', 'result': ['Misaligned window', 'Properly aligned window']}]"
Electrical System,Headlamp Bulb,"['Headlight not working', 'Dim headlight']","[{'step': 'Inspect headlamp bulb for filament condition', 'result': ['Burnt out filament', 'Filament intact']}, {'step': 'Check headlamp socket for corrosion', 'result': ['Corroded socket', 'Clean socket']}]"
Electrical System,Ignition Distributor Cap,"['Engine misfires', 'Difficulty starting engine']","[{'step': 'Inspect distributor cap for cracks or carbon tracks', 'result': ['Cracked/damaged cap', 'Cap in good condition']}, {'step': 'Check distributor rotor for wear', 'result': ['Worn rotor', 'Rotor in good condition']}]"
Electrical System,Ignition Wire Set,"['Engine misfires', 'Poor fuel economy']","[{'step': 'Test ignition wires for continuity', 'result': ['Broken wire', 'Wires intact']}, {'step': 'Inspect spark plug boots for damage', 'result': ['Damaged boots', 'Intact boots']}]"
Electrical System,Power Door Lock Actuator,"['Door lock not responding', 'Clicking sound from door']","[{'step': 'Test power to door lock actuator', 'result': ['No power', 'Power present']}, {'step': 'Inspect actuator mechanism for obstruction', 'result': ['Obstructed mechanism', 'Clear mechanism']}]"
Electrical System,Starter Motor,"['Engine does not crank', 'Clicking sound when key is turned']","[{'step': 'Test starter motor solenoid', 'result': ['Faulty solenoid', 'Solenoid working properly']}, {'step': 'Inspect starter motor brushes for wear', 'result': ['Worn brushes', 'Brushes in good condition']}]"
Electrical System,Windshield Washer Pump,"['No washer fluid spray', 'Weak washer fluid spray']","[{'step': 'Test power to washer pump', 'result': ['No power', 'Power present']}, {'step': 'Inspect washer pump for clogs or damage', 'result': ['Clogged/damaged pump', 'Clean/intact pump']}]"
Electrical System,Wiper Motor,"['Wipers not working', 'Wipers operate intermittently']","[{'step': 'Test power to wiper motor', 'result': ['No power', 'Power present']}, {'step': 'Inspect wiper motor linkage for wear', 'result': ['Worn linkage', 'Intact linkage']}]"
