category,subcategory,symptoms,diagnosis_steps,chunk
ABS System,ABS Control Module,"['ABS warning light on', 'Brake pedal pulsation']","[{'step': 'Check ABS fuse', 'result': ['Blown', 'Intact']}, {'step': 'Inspect wiring to ABS module', 'result': ['Faulty wiring', 'Good wiring']}]",category abs system subcategory abs control module symptoms abs warning light on brake pedal pulsation diagnosis steps 1 check abs fuse blown intact 2 inspect wiring to abs module faulty wiring good wiring
ABS System,ABS Wheel Speed Sensor,"['ABS light stays on', 'Erratic speedometer']","[{'step': 'Inspect wheel speed sensor connections', 'result': ['Loose connections', 'Secure connections']}, {'step': 'Check wheel speed sensor for debris or damage', 'result': ['Dirty/damaged', 'Clean/intact']}]",category abs system subcategory abs wheel speed sensor symptoms abs light stays on erratic speedometer diagnosis steps 1 inspect wheel speed sensor connections loose connections secure connections 2 check wheel speed sensor for debris or damage dirty damaged clean intact
ABS System,Brake Booster,"['Spongy brake pedal', 'Hard brake pedal']","[{'step': 'Check brake booster vacuum hose', 'result': ['Leaking', 'Intact']}, {'step': 'Test brake booster vacuum pressure', 'result': ['Low vacuum pressure', 'Normal vacuum pressure']}]",category abs system subcategory brake booster symptoms spongy brake pedal hard brake pedal diagnosis steps 1 check brake booster vacuum hose leaking intact 2 test brake booster vacuum pressure low vacuum pressure normal vacuum pressure
ABS System,Brake Caliper,"['Brake pulling to one side', 'Brake dragging']","[{'step': 'Inspect brake caliper for leaks', 'result': ['Leaking fluid', 'No leaks']}, {'step': 'Check brake caliper piston operation', 'result': ['Stuck piston', 'Free-moving piston']}]",category abs system subcategory brake caliper symptoms brake pulling to one side brake dragging diagnosis steps 1 inspect brake caliper for leaks leaking fluid no leaks 2 check brake caliper piston operation stuck piston free moving piston
ABS System,Brake Hose,"['Brake fluid leak', 'Soft brake pedal']","[{'step': 'Inspect brake hose for cracks or leaks', 'result': ['Cracked/leaking hose', 'Intact hose']}, {'step': 'Pressure test brake hose', 'result': ['Failed pressure test', 'Passes pressure test']}]",category abs system subcategory brake hose symptoms brake fluid leak soft brake pedal diagnosis steps 1 inspect brake hose for cracks or leaks cracked leaking hose intact hose 2 pressure test brake hose failed pressure test passes pressure test
ABS System,Brake Master Cylinder,"['Spongy brake pedal', 'Brake fluid leaks']","[{'step': 'Check brake fluid level in master cylinder', 'result': ['Low fluid level', 'Normal fluid level']}, {'step': 'Inspect master cylinder for leaks or damage', 'result': ['Leaking/damaged', 'Intact']}]",category abs system subcategory brake master cylinder symptoms spongy brake pedal brake fluid leaks diagnosis steps 1 check brake fluid level in master cylinder low fluid level normal fluid level 2 inspect master cylinder for leaks or damage leaking damaged intact
ABS System,Brake Pad,"['Squealing brakes', 'Brake pedal pulsation']","[{'step': 'Check brake pad thickness', 'result': ['Worn pads', 'Sufficient thickness pads']}, {'step': 'Inspect brake pad condition', 'result': ['Worn/damaged pads', 'Good condition pads']}]",category abs system subcategory brake pad symptoms squealing brakes brake pedal pulsation diagnosis steps 1 check brake pad thickness worn pads sufficient thickness pads 2 inspect brake pad condition worn damaged pads good condition pads
ABS System,Brake Rotor,"['Brake pedal pulsation', 'Steering wheel vibration']","[{'step': 'Measure brake rotor thickness', 'result': ['Thin rotor', 'Sufficient thickness rotor']}, {'step': 'Inspect brake rotor for scoring or warping', 'result': ['Scored/warped rotor', 'Smooth rotor']}]",category abs system subcategory brake rotor symptoms brake pedal pulsation steering wheel vibration diagnosis steps 1 measure brake rotor thickness thin rotor sufficient thickness rotor 2 inspect brake rotor for scoring or warping scored warped rotor smooth rotor
ABS System,Brake Shoe & Drum,"['Spongy brake pedal', 'Brake dragging']","[{'step': 'Inspect brake shoes for wear', 'result': ['Worn shoes', 'Good condition shoes']}, {'step': 'Check brake drum for scoring or cracks', 'result': ['Scored/cracked drum', 'Smooth drum']}]",category abs system subcategory brake shoe drum symptoms spongy brake pedal brake dragging diagnosis steps 1 inspect brake shoes for wear worn shoes good condition shoes 2 check brake drum for scoring or cracks scored cracked drum smooth drum
Air Conditioning System,AC Compressor,"['No cold air from vents', 'Loud noise when AC is on']","[{'step': 'Check AC compressor clutch operation', 'result': ['Clutch not engaging', 'Clutch engages properly']}, {'step': 'Inspect AC compressor for leaks or damage', 'result': ['Leaking/damaged compressor', 'Intact compressor']}]",category air conditioning system subcategory ac compressor symptoms no cold air from vents loud noise when ac is on diagnosis steps 1 check ac compressor clutch operation clutch not engaging clutch engages properly 2 inspect ac compressor for leaks or damage leaking damaged compressor intact compressor
Air Conditioning System,AC Condenser,"['Warm air from AC vents', 'AC system not cooling']","[{'step': 'Inspect AC condenser for debris or blockage', 'result': ['Debris/blockage present', 'Clean/clear condenser']}, {'step': 'Check for leaks in AC condenser', 'result': ['Leaking condenser', 'No leaks']}]",category air conditioning system subcategory ac condenser symptoms warm air from ac vents ac system not cooling diagnosis steps 1 inspect ac condenser for debris or blockage debris blockage present clean clear condenser 2 check for leaks in ac condenser leaking condenser no leaks
Air Conditioning System,AC Evaporator,"['Musty odor from vents', 'Weak airflow from vents']","[{'step': 'Inspect AC evaporator for mold or mildew buildup', 'result': ['Mold/mildew present', 'Clean evaporator']}, {'step': 'Check AC evaporator temperature sensor', 'result': ['Faulty sensor', 'Good sensor']}]",category air conditioning system subcategory ac evaporator symptoms musty odor from vents weak airflow from vents diagnosis steps 1 inspect ac evaporator for mold or mildew buildup mold mildew present clean evaporator 2 check ac evaporator temperature sensor faulty sensor good sensor
Air Conditioning System,AC Recharge,"['Warm air from vents', 'Low AC system pressure']","[{'step': 'Check AC system pressure with gauge', 'result': ['Low pressure', 'Normal pressure']}, {'step': 'Inspect for leaks in AC system', 'result': ['Leaking system', 'No leaks']}]",category air conditioning system subcategory ac recharge symptoms warm air from vents low ac system pressure diagnosis steps 1 check ac system pressure with gauge low pressure normal pressure 2 inspect for leaks in ac system leaking system no leaks
Air Conditioning System,Air Conditioning Diagnosis,"['AC system not working', 'Unusual noise from AC system']","[{'step': 'Perform AC system diagnostic scan', 'result': ['Error codes present', 'No error codes']}, {'step': 'Check AC system components for proper operation', 'result': ['Component failure', 'Components working properly']}]",category air conditioning system subcategory air conditioning diagnosis symptoms ac system not working unusual noise from ac system diagnosis steps 1 perform ac system diagnostic scan error codes present no error codes 2 check ac system components for proper operation component failure components working properly
Air Conditioning System,Cabin Air Filter,"['Musty odor from vents', 'Reduced airflow from vents']","[{'step': 'Inspect and replace cabin air filter', 'result': ['Dirty/clogged filter', 'Clean/new filter']}, {'step': 'Check for debris in cabin air intake', 'result': ['Debris in intake', 'Clear intake']}]",category air conditioning system subcategory cabin air filter symptoms musty odor from vents reduced airflow from vents diagnosis steps 1 inspect and replace cabin air filter dirty clogged filter clean new filter 2 check for debris in cabin air intake debris in intake clear intake
Air Conditioning System,Heater Blower Motor,"['No air from vents', 'Loud noise from HVAC system']","[{'step': 'Test blower motor operation', 'result': ['Motor not running', 'Motor running properly']}, {'step': 'Inspect blower motor for debris or damage', 'result': ['Debris/damage present', 'Clean/intact motor']}]",category air conditioning system subcategory heater blower motor symptoms no air from vents loud noise from hvac system diagnosis steps 1 test blower motor operation motor not running motor running properly 2 inspect blower motor for debris or damage debris damage present clean intact motor
Air Conditioning System,Heater Blower Motor Resistor,"['HVAC fan speed erratic', 'HVAC fan only works on certain settings']","[{'step': 'Test blower motor resistor continuity', 'result': ['Resistor failure', 'Resistor working properly']}, {'step': 'Inspect resistor for overheating or burn marks', 'result': ['Overheated/burned resistor', 'Good condition resistor']}]",category air conditioning system subcategory heater blower motor resistor symptoms hvac fan speed erratic hvac fan only works on certain settings diagnosis steps 1 test blower motor resistor continuity resistor failure resistor working properly 2 inspect resistor for overheating or burn marks overheated burned resistor good condition resistor
Cooling System,Coolant/Antifreeze,"['Engine overheating', 'Coolant leaks under the vehicle']","[{'step': 'Check coolant level and condition', 'result': ['Low/dirty coolant', 'Sufficient/clean coolant']}, {'step': 'Inspect radiator and hoses for leaks', 'result': ['Leaking radiator/hoses', 'No leaks']}]",category cooling system subcategory coolant antifreeze symptoms engine overheating coolant leaks under the vehicle diagnosis steps 1 check coolant level and condition low dirty coolant sufficient clean coolant 2 inspect radiator and hoses for leaks leaking radiator hoses no leaks
Cooling System,Coolant Leak Diagnosis,"['Visible coolant puddle under vehicle', 'Coolant odor in cabin']","[{'step': 'Pressure test cooling system', 'result': ['Leaking system', 'No leaks detected']}, {'step': 'Inspect radiator, hoses, and water pump for leaks', 'result': ['Leaking component found', 'Components are intact']}]",category cooling system subcategory coolant leak diagnosis symptoms visible coolant puddle under vehicle coolant odor in cabin diagnosis steps 1 pressure test cooling system leaking system no leaks detected 2 inspect radiator hoses and water pump for leaks leaking component found components are intact
Cooling System,Engine Cooling System,"['Engine overheating', 'Temperature gauge in red zone']","[{'step': 'Check radiator for blockage or damage', 'result': ['Blocked/damaged radiator', 'Clear/intact radiator']}, {'step': 'Test thermostat operation', 'result': ['Faulty thermostat', 'Thermostat functioning properly']}]",category cooling system subcategory engine cooling system symptoms engine overheating temperature gauge in red zone diagnosis steps 1 check radiator for blockage or damage blocked damaged radiator clear intact radiator 2 test thermostat operation faulty thermostat thermostat functioning properly
Cooling System,Heater Core,"['No heat from vents', 'Sweet smell in cabin']","[{'step': 'Inspect heater core for leaks', 'result': ['Leaking heater core', 'No leaks detected']}, {'step': 'Check coolant flow through heater core', 'result': ['Restricted flow', 'Good coolant flow']}]",category cooling system subcategory heater core symptoms no heat from vents sweet smell in cabin diagnosis steps 1 inspect heater core for leaks leaking heater core no leaks detected 2 check coolant flow through heater core restricted flow good coolant flow
Cooling System,Heater Hose,"['Coolant odor in cabin', 'Visible coolant leak under vehicle']","[{'step': 'Inspect heater hose connections', 'result': ['Loose/damaged connections', 'Secure/intact connections']}, {'step': 'Pressure test heater hoses', 'result': ['Leaking hose detected', 'No leaks found']}]",category cooling system subcategory heater hose symptoms coolant odor in cabin visible coolant leak under vehicle diagnosis steps 1 inspect heater hose connections loose damaged connections secure intact connections 2 pressure test heater hoses leaking hose detected no leaks found
